url,prov,Kec,Nama File,Nama Feature
F:\WP3WT\@ Integrasi Data\2014\Jateng\2012\Kabupaten Purworejo\Kecamatan Ngombol\ptn_ngombol.shp,Jawa Tengah,Ngombol,ptn_ngombol.shp,ptn_ngombol
F:\WP3WT\@ Integrasi Data\2014\Jateng\2012\Kabupaten Purworejo\Kecamatan Purwodadi\ptn_purwodadi.shp,Jawa Tengah,Purwodadi,ptn_purwodadi.shp,ptn_purwodadi
F:\WP3WT\@ Integrasi Data\2014\Jateng\2012\Kabupaten Tegal\Kecamatan Keramat\ptn_keramat.shp,Jawa Tengah,Keramat,ptn_keramat.shp,ptn_keramat
F:\WP3WT\@ Integrasi Data\2014\Jateng\2012\Kabupaten Tegal\Kecamatan Surodadi\ptn_surodadi.shp,Jawa Tengah,Surodadi,ptn_surodadi.shp,ptn_surodadi
F:\WP3WT\@ Integrasi Data\2014\Jateng\2012\Kabupaten Tegal\Kecamatan Warureja\ptn_warureja.shp,Jawa Tengah,Warureja,ptn_warureja.shp,ptn_warureja
F:\WP3WT\@ Integrasi Data\2014\Jateng\2012\Kota Pekalongan\Kecamatan Pekalongan Utara\ptn_pekalonganutara.shp,Jawa Tengah,Pekalon_Utara,ptn_pekalonganutara.shp,ptn_pekalonganutara
F:\WP3WT\@ Integrasi Data\2014\Jateng\2013\Kabupaten Pekalongan\Kecamatan Siwalan\ptn_siwalan.shp,Jawa Tengah,Siwalan,ptn_siwalan.shp,ptn_siwalan
F:\WP3WT\@ Integrasi Data\2014\Jateng\2013\Kabupaten Pekalongan\Kecamatan Wonokerto\ptn_wonokerto.shp,Jawa Tengah,Wonokerto,ptn_wonokerto.shp,ptn_wonokerto
F:\WP3WT\@ Integrasi Data\2014\Jateng\2013\Kabupaten Pemalang\Kecamatan Pemalang\ptn_pemalang.shp,Jawa Tengah,Pemalang,ptn_pemalang.shp,ptn_pemalang
F:\WP3WT\@ Integrasi Data\2014\Jateng\2013\Kabupaten Pemalang\Kecamatan Petarukan\ptn_petarukan.shp,Jawa Tengah,Petarukan,ptn_petarukan.shp,ptn_petarukan
F:\WP3WT\@ Integrasi Data\2014\Jateng\2013\Kabupaten Pemalang\Kecamatan Taman\ptn_taman.shp,Jawa Tengah,Taman,ptn_taman.shp,ptn_taman
F:\WP3WT\@ Integrasi Data\2014\Jateng\2013\Kabupaten Pemalang\Kecamatan Ulujami\ptn_ulujami.shp,Jawa Tengah,Ulujami,ptn_ulujami.shp,ptn_ulujami
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2010\Kabupaten Banjar\Kecamatan Aluh Aluh\ptn_aluhAluh.shp,Kalimantan Selatan,Aluh,ptn_aluhAluh.shp,ptn_aluhAluh
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2010\Kabupaten Tanah Bumbu\Kecamatan Angsana\ptn_angsana.shp,Kalimantan Selatan,Angsana,ptn_angsana.shp,ptn_angsana
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2010\Kabupaten Tanah Laut\Kecamatan Bumi Makmur\ptn_bumiMakmur.shp,Kalimantan Selatan,Bumi_Makmur,ptn_bumiMakmur.shp,ptn_bumiMakmur
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2010\Kabupaten Tanah Laut\Kecamatan Kurau\ptn_kurau.shp,Kalimantan Selatan,Kurau,ptn_kurau.shp,ptn_kurau
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2011\Kabupaten Barito\Kecamatan Tabunganen\ptn_tabunganen.shp,Kalimantan Selatan,Tabunganen,ptn_tabunganen.shp,ptn_tabunganen
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2011\Kabupaten Tanah Bumbu\Kecamatan Satui\ptn_satui.shp,Kalimantan Selatan,Satui,ptn_satui.shp,ptn_satui
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2011\Kabupaten Tanah Bumbu\Kecamatan Sungai Loban\ptn_sungaiLoban.shp,Kalimantan Selatan,Sungai_Loban,ptn_sungaiLoban.shp,ptn_sungaiLoban
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2011\Kabupaten Tanah Laut\Kecamatan Jorong\ptn_jorong.shp,Kalimantan Selatan,Jorong,ptn_jorong.shp,ptn_jorong
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2011\Kabupaten Tanah Laut\Kecamatan Panyipatan\ptn_panyipatan.shp,Kalimantan Selatan,Panyipatan,ptn_panyipatan.shp,ptn_panyipatan
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2011\Kabupaten Tanah Laut\Kecamatan Takisung\ptn_takisung.shp,Kalimantan Selatan,Takisung,ptn_takisung.shp,ptn_takisung
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Kelumpang Hilir\ptn_KelumpangHilir.shp,Kalimantan Selatan,Pulau_Hilir,ptn_KelumpangHilir.shp,ptn_KelumpangHilir
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Kelumpang Selatan\ptn_kelumpangSelatan.shp,Kalimantan Selatan,Pulau_Selatan,ptn_kelumpangSelatan.shp,ptn_kelumpangSelatan
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Laut Tengah\ptn_pulauLautTengah.shp,Kalimantan Selatan,Pulau_Tengah,ptn_pulauLautTengah.shp,ptn_pulauLautTengah
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Laut Timur\ptn_pulauLautTimur.shp,Kalimantan Selatan,Pulau_Timur,ptn_pulauLautTimur.shp,ptn_pulauLautTimur
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2012\Kabupaten Kota Baru\Kecamatan Pulau Laut Utara\ptn_pulauLautUtara.shp,Kalimantan Selatan,Pulau_Utara,ptn_pulauLautUtara.shp,ptn_pulauLautUtara
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2013\Kabupaten Kotabaru\Kecamatan Pulau Laut Barat\ptn_pulauLautBarat.shp,Kalimantan Selatan,Pulau_Barat,ptn_pulauLautBarat.shp,ptn_pulauLautBarat
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2013\Kabupaten Kotabaru\Kecamatan Pulau Laut Kepulauan\ptn_pulauLautKepulauan.shp,Kalimantan Selatan,Pulau_Kepulauan,ptn_pulauLautKepulauan.shp,ptn_pulauLautKepulauan
F:\WP3WT\@ Integrasi Data\2013\22 Kalsel\2013\Kabupaten Kotabaru\Kecamatan Pulau Laut Selatan\ptn_pulauLautSelatan.shp,Kalimantan Selatan,Pulau_Selatan,ptn_pulauLautSelatan.shp,ptn_pulauLautSelatan
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2010\Kabupaten Banjar\Kecamatan Aluh Aluh\ptn_aluhAluh.shp,Kalimantan Selatan,Aluh,ptn_aluhAluh.shp,ptn_aluhAluh
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2010\Kabupaten Tanah Bumbu\Kecamatan Angsana\ptn_angsana.shp,Kalimantan Selatan,Angsana,ptn_angsana.shp,ptn_angsana
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2010\Kabupaten Tanah Laut\Kecamatan Bumi Makmur\ptn_bumiMakmur.shp,Kalimantan Selatan,Bumi_Makmur,ptn_bumiMakmur.shp,ptn_bumiMakmur
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2010\Kabupaten Tanah Laut\Kecamatan Kurau\ptn_kurau.shp,Kalimantan Selatan,Kurau,ptn_kurau.shp,ptn_kurau
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2011\Kabupaten Barito\Kecamatan Tabunganen\ptn_tabunganen.shp,Kalimantan Selatan,Tabunganen,ptn_tabunganen.shp,ptn_tabunganen
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2011\Kabupaten Tanah Bumbu\Kecamatan Satui\ptn_satui.shp,Kalimantan Selatan,Satui,ptn_satui.shp,ptn_satui
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2011\Kabupaten Tanah Bumbu\Kecamatan Sungai Loban\ptn_sungaiLoban.shp,Kalimantan Selatan,Sungai_Loban,ptn_sungaiLoban.shp,ptn_sungaiLoban
F:\WP3WT\@ Integrasi Data\2014\Kalsel\2011\Kabupaten Tanah Laut\Kecamatan Jorong\ptn_jorong.shp,Kalimantan Selatan,Jorong,ptn_jorong.shp,ptn_jorong
