a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Kepala\pemilikan tanah_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Kepala,,,,Kepala,Kepala,,,,
,C:\WP3WT\PPKT\SHP\Sebetul\geografis\Pemilikantanahsebetul_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau Sebetul,,,,Sebetul,Sebetul,,,,
,C:\WP3WT\PPKT\SHP\Tokong Boro\Pemilikan tanah_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN', 'Ket']",2,Pulau,2017,Kep Riau,,Pulau TokongBoro,,,,TokongBoro,TokongBoro,,,,
,C:\WP3WT\PPKT\SHP\Sekatung\Pemilikan_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN']",2,Pulau,2017,Kep Riau,,Pulau Sekatung,,,,Sekatung,Sekatung,,,,
,C:\WP3WT\PPKT\SHP\Semiun\Pemilikan_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN']",2,Pulau,2017,Kep Riau,,Pulau Semiun,,,,Semiun,Semiun,,,,
,C:\WP3WT\PPKT\SHP\Senua\Pemilikan Tanah_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN']",2,Pulau,2017,Kep Riau,,Pulau Senua,,,,Senua,Senua,,,,
,C:\WP3WT\PPKT\SHP\Subi Kecil\Pemilikan_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2', 'KETERANGAN']",2,Pulau,2017,Kep Riau,,Pulau SubiKecil,,,,SubiKecil,SubiKecil,,,,
,C:\WP3WT\PPKT\SHP\P. Maratua\SHP\Pemilikan_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2']",2,Pulau,2017,Kalimantan Timur,,Pulau Maratua,,,,Maratua,Maratua,,,,
,C:\WP3WT\PPKT\SHP\P. Sambit\SHP\Pemilikan_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2']",2,Pulau,2017,Kalimantan Timur,,Pulau Sambit,,,,Sambit,Sambit,,,,
,C:\WP3WT\PPKT\SHP\P. Salando\SHP\Pemilikan_region.shp,"['IDENTIFIER', 'NO_SU', 'LUAS_M2', 'BIDANG', 'PEMILIKAN', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMISILI', 'TANAH', 'TANAH0', 'TANAH1', 'TAHUN', 'TANAH2']",2,Pulau,2017,Sulawesi Tengah,,Pulau Salando,,,,Salando,Salando,,,,
,C:\WP3WT\PPKT\SHP\sekel\pemilikan.shp,"['KECAMATAN', 'KABUPATEN', 'AREA', 'PERIMETER', 'HECTARES', 'PULAU', 'ID', 'PEMILIKAN']",2,Pulau,2017,Jawa Timur,,Pulau Sekel,,,,Sekel,Sekel,,,,
,C:\WP3WT\PPKT\SHP\Bangkit atau bongkil\bongkil_pemilikan.shp,"['KODE_PEMIL', 'STATUS_TNH', 'TIPE_STATU', 'KETERANGAN', 'text', 'text_1']",2,Pulau,2017,Sulawesi Utara,,Pulau Bangkit,,,,Bangkit,Bangkit,,,,
,C:\WP3WT\PPKT\SHP\Manterawu atau mantehage\Mantehage P4T\Pemilikan_Mantehage.shp,"['Nama_Desa', 'Pemilikan', 'Luas', 'text', 'text_1']",2,Pulau,2017,Sulawesi Utara,,Pulau Mantehage,,,,Mantehage,Mantehage,,,,
,C:\WP3WT\PPKT\SHP\2-Pemilikan\Pemilikan Nusakambangan.shp,"['Nama_Layer', 'Tipe', 'No_Idfier', 'Status_Tnh', 'Ket_Status', 'TipeStatus']",2,Pulau,2017,Jawa Tengah,,Pulau NusaKambangan,,,,NusaKambangan,NusaKambangan,,,,
