a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\Alor\Penggunaan Tanah_region.shp,"['KETERANGAN', 'ID', 'KODE', '_1', 'Guna_2011', 'guna_kws']",2,Pulau,2017,NTT,,Pulau Alor,,,,Alor,Alor,,,,
,C:\WP3WT\PPKT\SHP\PULAU_BATEK\Penggunaan_tanah_P_batek.shp,"['NO_IDENTIF', 'KODE_JENIS', 'KETERANGAN', 'TEXT', 'LUAS']",2,Pulau,2017,NTT,,Pulau Batek,,,,Batek,Batek,,,,
,C:\WP3WT\PPKT\SHP\Bras\SHP\Penggunaan_region.shp,"['IDENTIFIER', 'PENGGUNAAN', 'KETERANGAN']",2,Pulau,2017,Papua,,Pulau Bras,,,,Bras,Bras,,,,
,C:\WP3WT\PPKT\SHP\Fanildo\SHP\Penggunaan_region.shp,"['IDENTIFIER', 'PENGGUNAAN', 'KETERANGAN']",2,Pulau,2017,Papua,,Pulau Fanildo,,,,Fanildo,Fanildo,,,,
,C:\WP3WT\PPKT\SHP\Kolepon\PENGGUNAAN\g_kolepon.shp,"['NAMA_PULAU', 'PGN', 'PENGGUNAAN', 'CODE_S', 'guna_bar']",2,Pulau,2017,Papua,,Pulau Kolepon,,,,Kolepon,Kolepon,,,,
,C:\WP3WT\PPKT\SHP\Laag\pulau_baru_penggunaan.shp,"['Id', 'Penggunaan', 'Pemanfaata', 'penguasaan']",2,Pulau,2017,Papua,,Pulau Laag,,,,Laag,Laag,,,,
,C:\WP3WT\PPKT\SHP\Liki\Liki Penggunaan.shp,"['No', 'penggunaan', 'Nama', 'Jenis_Pe_1', 'Keterang_1', 'Luas', 'Shape_Leng']",2,Pulau,2017,Papua,,Pulau Liki,,,,Liki,Liki,,,,
,F:\WP3WT\@ Integrasi Data\2014\Papua Barat\2010\01_Budd\ptn_budd.shp,"['objID', 'objType', 'objYear', 'wapName', 'wakName', 'wacName', 'area', 'ptnID', 'ptnObjName', 'ptnRemarks']",2,Pulau,2017,Papua Barat,,Pulau Budd,,,,Budd,Budd,,,,
,C:\WP3WT\PPKT\SHP\Miossu\Q_Miossu.shp,"['Id', 'Penggunaan', 'Luas']",2,Pulau,2017,Papua Barat,,Pulau Miossu,,,,Miossu,Miossu,,,,
,C:\WP3WT\PPKT\SHP\P. Dolangan\SHP\Penggunaan_region.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN']",2,Pulau,2017,Sulawesi Tengah,,Pulau Dolangan,,,,Dolangan,Dolangan,,,,
,C:\WP3WT\PPKT\SHP\P. Lingian\SHP\Penggunaan_region.shp,"['IDENTIFIER', 'JENIS', 'KETERANGAN']",2,Pulau,2017,Sulawesi Tengah,,Pulau Lingian,,,,Lingian,Lingian,,,,
,C:\WP3WT\PPKT\SHP\P. Salando\SHP\Penggunaan_region.shp,"['NO', 'IDENTIFIER', 'JENIS', 'KETERANGAN', 'keterang_1']",2,Pulau,2017,Sulawesi Tengah,,Pulau Salando,,,,Salando,Salando,,,,
,C:\WP3WT\PPKT\SHP\Bangkit atau bongkil\bongkil_penggunaan.shp,"['NO_ID', 'KODE_PENGG', 'PENGGUNAAN', 'KETERANGAN', 'text']",2,Pulau,2017,Sulawesi Utara,,Pulau Bangkit,,,,Bangkit,Bangkit,,,,
,C:\WP3WT\PPKT\SHP\Marore dan Batubawaikang\Penggunaan Tanah_Marore.shp,"['Jenis', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'Ket']",2,Pulau,2017,Sulawesi Utara,,Pulau BatuBawaikang,,,,BatuBawaikang,BatuBawaikang,,,,
,C:\WP3WT\PPKT\SHP\Intata\intata_penggunaan.shp,"['NO_ID', 'PENGGUNAAN', 'KODE_PENGG', 'KETERANGAN', 'text']",2,Pulau,2017,Sulawesi Utara,,Pulau Intata,,,,Intata,Intata,,,,
,C:\WP3WT\PPKT\SHP\Kakorotan atau kakarutan\kakorotan_penggunaan.shp,"['NO_ID', 'KODE_PENGG', 'PENGGUNAAN', 'KETERENGAN', 'text', 'guna_2011']",2,Pulau,2017,Sulawesi Utara,,Pulau Kakorotan,,,,Kakorotan,Kakorotan,,,,
,C:\WP3WT\PPKT\SHP\Kawalusu\Penggunaan Tanah_Kawaluso.shp,"['Jenis', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY']",2,Pulau,2017,Sulawesi Utara,,Pulau Kawalusu,,,,Kawalusu,Kawalusu,,,,
,C:\WP3WT\PPKT\SHP\Kawio\Penggunaan Tanah_Kawio.shp,"['Jenis', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY']",2,Pulau,2017,Sulawesi Utara,,Pulau Kawio,,,,Kawio,Kawio,,,,
,C:\WP3WT\PPKT\SHP\Makalehi\Penggunaan Tanah_Makalehi.shp,"['Jenis', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'Area', 'Keterang_1']",2,Pulau,2017,Sulawesi Utara,,Pulau Makalehi,,,,Makalehi,Makalehi,,,,
,C:\WP3WT\PPKT\SHP\Manterawu atau mantehage\Mantehage P4T\Penggunaan_Mantehage.shp,"['Nama_Desa', 'Penggunaan', 'Ket', 'Luas', 'text']",2,Pulau,2017,Sulawesi Utara,,Pulau Mantehage,,,,Mantehage,Mantehage,,,,
,C:\WP3WT\PPKT\SHP\Marampit\marampit_penggunaan.shp,"['NO_ID', 'KODE_PENGG', 'PENGGUNAAN', 'KETERANGAN', 'text']",2,Pulau,2017,Sulawesi Utara,,Pulau Marampit,,,,Marampit,Marampit,,,,
,C:\WP3WT\PPKT\SHP\Marore dan Batubawaikang\Penggunaan Tanah_Marore.shp,"['Jenis', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'Ket']",2,Pulau,2017,Sulawesi Utara,,Pulau Marore,,,,Marore,Marore,,,,
,C:\WP3WT\PPKT\SHP\Miangas\miangas_penggunaan.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'JENIS', 'KETERANGAN', 'Ket']",2,Pulau,2017,Sulawesi Utara,,Pulau Miangas,,,,Miangas,Miangas,,,,
,C:\WP3WT\PPKT\SHP\PULAU SIBARU BARU\Shp\Shp_penggunaan\projectsibarubarupenggunaan.shp,"['Id', 'penggunaan', 'kode']",2,Pulau,2017,Sumatera Barat,,Pulau Sibarubaru,,,,Sibarubaru,Sibarubaru,,,,
,C:\WP3WT\PPKT\SHP\PULAU SINYAUNYAU\Shp\Shp_penggunaan\projectsinyaunyaupenggunaan_.shp,"['Id', 'penggunaan', 'kode']",2,Pulau,2017,Sumatera Barat,,Pulau Sinyaunyau,,,,Sinyaunyau,Sinyaunyau,,,,
,C:\WP3WT\PPKT\SHP\Simuk\Geo\penggunaan.shp,"['ID', 'AREA', 'PERIMETER', 'TEXTSTRING', 'penggunaan']",2,Pulau,2017,Sumatera Utara,,Pulau Simuk,,,,Simuk,Simuk,,,,
,C:\WP3WT\PPKT\SHP\Wunga\Geo\penggunaan.shp,"['ID', 'AREA', 'PERIMETER', 'PENGGUNAAN', 'CODE', 'JnisPnggun']",2,Pulau,2017,Sumatera Utara,,Pulau Wunga,,,,Wunga,Wunga,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
