a,b,c,objID,objType,objYear,wapName,wakName,wadName,pmnID,pmnObjName,area,pmnRemarks,Pulau,,,,
,C:\WP3WT\PPKT\SHP\JIEW\gugusan_penguasaan.shp,"['Id', 'Penguasaan', 'Area']",2,Pulau,2017,Maluku Utara,,Pulau Jiew,,,,Jiew,Jiew,,,,
,C:\WP3WT\PPKT\SHP\PULAU_SOPHIALOUISA\Penguasaan.shp,"['Id', 'NO_IDENTIF', 'KODE_JENIS', 'KETERANGAN', 'Text', 'LUAS']",2,Pulau,2017,NTB,,Pulau Sophialouisa,,,,Sophialouisa,Sophialouisa,,,,
,C:\WP3WT\PPKT\SHP\Alor\Penguasaan_Tanah_region.shp,"['ID', 'KODE', '_1', 'KETERANGAN']",2,Pulau,2017,NTT,,Pulau Alor,,,,Alor,Alor,,,,
,C:\WP3WT\PPKT\SHP\PULAU_BATEK\Penguasaan_tanah_P_Batek.shp,"['NO_IDENT_1', 'NAMA', 'WARGA_NEGA', 'PROFESI', 'DOMISILI', 'JENIS_PENG', 'TAHUN_PENG', 'KETERANGAN', 'LUAS']",2,Pulau,2017,NTT,,Pulau Batek,,,,Batek,Batek,,,,
,C:\WP3WT\PPKT\SHP\Bras\SHP\Penguasaan_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMESILI', 'PENGUASAAN', 'PENGUASA0', 'KETERANGAN']",2,Pulau,2017,Papua,,Pulau Bras,,,,Bras,Bras,,,,
,C:\WP3WT\PPKT\SHP\Fanildo\SHP\Penguasaan_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMESILI', 'PENGUASAAN', 'PENGUASA0', 'KETERANGAN']",2,Pulau,2017,Papua,,Pulau Fanildo,,,,Fanildo,Fanildo,,,,
,C:\WP3WT\PPKT\SHP\Kolepon\PENGUASAAN\s_kolepon.shp,"['SUKU', 'PGS', 'NAMA_PULAU', 'PGN', 'PENGGUNAAN', 'PGS_KODE', 'PENGUASAAN', 'kuasa_bar', 'kode']",2,Pulau,2017,Papua,,Pulau Kolepon,,,,Kolepon,Kolepon,,,,
,C:\WP3WT\PPKT\SHP\Laag\pulau_baru_penguasaan.shp,"['Id', 'Penguasaan']",2,Pulau,2017,Papua,,Pulau Laag,,,,Laag,Laag,,,,
,C:\WP3WT\PPKT\SHP\Liki\Liki_Penguasaan.shp,"['No', 'penggunaan', 'Nama', 'Warganegar', 'Profesi', 'Domisili', 'Kode_Peng', 'Jenis_Peng', 'Alas_Peng', 'Tahun_Peng', 'Keterang_1', 'Luas', 'Shape_Leng']",2,Pulau,2017,Papua,,Pulau Liki,,,,Liki,Liki,,,,
,C:\WP3WT\PPKT\SHP\Budd\Penguasaan1.shp,"['Id', 'pemilik', 'Penggunaan', 'LUAS', 'LUAS_HA', 'Pemilikan', 'Jenis_Peng', 'No_Iden']",2,Pulau,2017,Papua Barat,,Pulau Budd,,,,Budd,Budd,,,,
,C:\WP3WT\PPKT\SHP\Miossu\Peng1.shp,"['Id', 'Penggunaan', 'Luas', 'Penguasaan']",2,Pulau,2017,Papua Barat,,Pulau Miossu,,,,Miossu,Miossu,,,,
,C:\WP3WT\PPKT\SHP\P. Dolangan\SHP\Penguasaan_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFISI', 'DOMISILI', 'TANAH', 'TANAH0', 'KETERANGAN']",2,Pulau,2017,Sulawesi Tengah,,Pulau Dolangan,,,,Dolangan,Dolangan,,,,
,C:\WP3WT\PPKT\SHP\P. Lingian\SHP\Penguasaan_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMESILI', 'PENGUASAAN', 'PENGUASA0', 'KETERANGAN']",2,Pulau,2017,Sulawesi Tengah,,Pulau Lingian,,,,Lingian,Lingian,,,,
,C:\WP3WT\PPKT\SHP\P. Salando\SHP\Penguasaan_region.shp,"['IDENTIFIER', 'NAMA', 'WNA_WNI', 'PROFESI', 'DOMESILI', 'TANAH0', 'TANAH', 'KETERANGAN']",2,Pulau,2017,Sulawesi Tengah,,Pulau Salando,,,,Salando,Salando,,,,
,C:\WP3WT\PPKT\SHP\Bangkit atau bongkil\bongkil_penguasaan.shp,"['NO_ID', 'KODE_PENGU', 'PENGUASAAN', 'KETERANGAN', 'text']",2,Pulau,2017,Sulawesi Utara,,Pulau Bangkit,,,,Bangkit,Bangkit,,,,
,C:\WP3WT\PPKT\SHP\Marore dan Batubawaikang\Penguasaan Tanah_Marore.shp,"['Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'J_Peng_Tnh', 'A_Peng_Tnh', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY']",2,Pulau,2017,Sulawesi Utara,,Pulau BatuBawaikang,,,,BatuBawaikang,BatuBawaikang,,,,
,C:\WP3WT\PPKT\SHP\Intata\intata_penguasaan.shp,"['NO_ID', 'KODE_PENGU', 'PENGUASAAN', 'ALAS_PENGU', 'KETERANGAN', 'text']",2,Pulau,2017,Sulawesi Utara,,Pulau Intata,,,,Intata,Intata,,,,
,C:\WP3WT\PPKT\SHP\Kakorotan atau kakarutan\kakorotan_penguasaan.shp,"['KODE_PENGU', 'PENGUASAAN', 'ALAS_PENGU', 'KETERANGAN', 'text', 'LUAS', 'NO_ID', 'kode_2011']",2,Pulau,2017,Sulawesi Utara,,Pulau Kakorotan,,,,Kakorotan,Kakorotan,,,,
,C:\WP3WT\PPKT\SHP\Kawalusu\Penguasaan Tanah_Kawaluso.shp,"['Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'J_Peng_Tnh', 'A_Peng_Tnh', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY']",2,Pulau,2017,Sulawesi Utara,,Pulau Kawalusu,,,,Kawalusu,Kawalusu,,,,
,C:\WP3WT\PPKT\SHP\Kawio\Penguasaan Tanah_Kawio.shp,"['Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'J_Peng_Tnh', 'A_Peng_Tnh', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY']",2,Pulau,2017,Sulawesi Utara,,Pulau Kawio,,,,Kawio,Kawio,,,,
,C:\WP3WT\PPKT\SHP\Makalehi\Penguasaan Tanah_Makalehi.shp,"['Nama', 'Kewarganeg', 'Profesi', 'Domisili', 'J_Peng_Tnh', 'A_Peng_Tnh', 'Keterangan', 'ID', 'ID_WILAYAH', 'NAMA_WILAY', 'Area']",2,Pulau,2017,Sulawesi Utara,,Pulau Makalehi,,,,Makalehi,Makalehi,,,,
,C:\WP3WT\PPKT\SHP\Manterawu atau mantehage\Mantehage P4T\Penguasaan_Mantehage.shp,"['Nama_Desa', 'Penguasaan', 'Luas', 'text', 'Kode']",2,Pulau,2017,Sulawesi Utara,,Pulau Mantehage,,,,Mantehage,Mantehage,,,,
,C:\WP3WT\PPKT\SHP\Marampit\marampit_penguasaan.shp,"['NO_ID', 'KODE_PENGU', 'PENGUASAAN', 'KETERANGAN', 'text']",2,Pulau,2017,Sulawesi Utara,,Pulau Marampit,,,,Marampit,Marampit,,,,
,C:\WP3WT\PPKT\SHP\Marore dan Batubawaikang\Penguasaan Tanah_Marore.shp,,2,Pulau,2017,Sulawesi Utara,,Pulau Marore,,,,Marore,Marore,,,,
,C:\WP3WT\PPKT\SHP\Miangas\miangas_penguasaan.shp,"['ID', 'ID_TABEL', 'ID_WILAYAH', 'WILAYAH', 'TANAH', 'KETERANGAN', 'Ket']",2,Pulau,2017,Sulawesi Utara,,Pulau Miangas,,,,Miangas,Miangas,,,,
,C:\WP3WT\PPKT\SHP\PULAU SIBARU BARU\Shp\Shp_penguasaan\projectsibarubarupenguasaan.shp,"['Id', 'penguasaan', 'kode']",2,Pulau,2017,Sumatera Barat,,Pulau Sibarubaru,,,,Sibarubaru,Sibarubaru,,,,
,C:\WP3WT\PPKT\SHP\PULAU SINYAUNYAU\Shp\Shp_penguasaan\projectsinyaunyaupenguasaan.shp,"['Id', 'penguasaan', 'kode']",2,Pulau,2017,Sumatera Barat,,Pulau Sinyaunyau,,,,Sinyaunyau,Sinyaunyau,,,,
,C:\WP3WT\PPKT\SHP\Simuk\Geo\penguasaan.shp,"['ID', 'AREA', 'PERIMETER', 'STATUS', 'TEXTSTRING', 'Penguasaan']",2,Pulau,2017,Sumatera Utara,,Pulau Simuk,,,,Simuk,Simuk,,,,
,C:\WP3WT\PPKT\SHP\Wunga\Geo\penguasaan.shp,[''],2,Pulau,2017,Sumatera Utara,,Pulau Wunga,,,,Wunga,Wunga,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
